date,value
29/02/2016,1.0873
26/02/2016,1.0934
25/02/2016,1.1018
24/02/2016,1.1013
23/02/2016,1.102
22/02/2016,1.103
19/02/2016,1.113
18/02/2016,1.1107
17/02/2016,1.1128
16/02/2016,1.1144
15/02/2016,1.1156
12/02/2016,1.1256
11/02/2016,1.1323
10/02/2016,1.1292
09/02/2016,1.1293
08/02/2016,1.1193
05/02/2016,1.1158
04/02/2016,1.1209
03/02/2016,1.1105
02/02/2016,1.0919
01/02/2016,1.0888
29/01/2016,1.0831
28/01/2016,1.094
27/01/2016,1.0893
26/01/2016,1.087
25/01/2016,1.0849
22/01/2016,1.0796
21/01/2016,1.0874
20/01/2016,1.089
19/01/2016,1.0908
18/01/2016,1.0892
15/01/2016,1.0916
14/01/2016,1.0865
13/01/2016,1.0877
12/01/2016,1.0858
11/01/2016,1.0859
08/01/2016,1.0922
07/01/2016,1.0932
06/01/2016,1.0781
05/01/2016,1.0748
04/01/2016,1.0831
01/01/2016,1.0856
31/12/2015,1.0862
30/12/2015,1.0933
29/12/2015,1.092
28/12/2015,1.0968
25/12/2015,1.096
24/12/2015,1.0963
23/12/2015,1.0912
22/12/2015,1.0957
21/12/2015,1.0915
18/12/2015,1.0868
17/12/2015,1.0826
16/12/2015,1.0912
15/12/2015,1.0931
14/12/2015,1.0992
11/12/2015,1.0986
10/12/2015,1.0941
09/12/2015,1.1025
08/12/2015,1.0892
07/12/2015,1.0837
04/12/2015,1.0881
03/12/2015,1.094
02/12/2015,1.0615
01/12/2015,1.0633
30/11/2015,1.0565
27/11/2015,1.0593
26/11/2015,1.061
25/11/2015,1.0624
24/11/2015,1.0643
23/11/2015,1.0636
20/11/2015,1.0646
19/11/2015,1.0734
18/11/2015,1.066
17/11/2015,1.0642
16/11/2015,1.0686
13/11/2015,1.0773
12/11/2015,1.0814
11/11/2015,1.0743
10/11/2015,1.0724
09/11/2015,1.0752
06/11/2015,1.0741
05/11/2015,1.0884
04/11/2015,1.0866
03/11/2015,1.0964
02/11/2015,1.1016
30/10/2015,1.1006
29/10/2015,1.0977
28/10/2015,1.0923
27/10/2015,1.1051
26/10/2015,1.1058
23/10/2015,1.1018
22/10/2015,1.1109
21/10/2015,1.1339
20/10/2015,1.1346
19/10/2015,1.1327
16/10/2015,1.1348
15/10/2015,1.1386
14/10/2015,1.1474
13/10/2015,1.1379
12/10/2015,1.1358
09/10/2015,1.1358
08/10/2015,1.1276
07/10/2015,1.1237
06/10/2015,1.1272
05/10/2015,1.1188
02/10/2015,1.1216
01/10/2015,1.1195
30/09/2015,1.1177
29/09/2015,1.1249
28/09/2015,1.1244
25/09/2015,1.1195
24/09/2015,1.123
23/09/2015,1.1186
22/09/2015,1.112
21/09/2015,1.119
18/09/2015,1.1298
17/09/2015,1.1435
16/09/2015,1.129
15/09/2015,1.1269
14/09/2015,1.1317
11/09/2015,1.1338
10/09/2015,1.128
09/09/2015,1.1207
08/09/2015,1.1203
07/09/2015,1.117
04/09/2015,1.1149
03/09/2015,1.1123
02/09/2015,1.1227
01/09/2015,1.1315
31/08/2015,1.1211
28/08/2015,1.1185
27/08/2015,1.1246
26/08/2015,1.1314
25/08/2015,1.1517
24/08/2015,1.1619
21/08/2015,1.1386
20/08/2015,1.1242
19/08/2015,1.112
18/08/2015,1.1024
17/08/2015,1.1078
14/08/2015,1.1109
13/08/2015,1.115
12/08/2015,1.1159
11/08/2015,1.1042
10/08/2015,1.1019
07/08/2015,1.0967
06/08/2015,1.0925
05/08/2015,1.0906
04/08/2015,1.0881
03/08/2015,1.095
31/07/2015,1.0984
30/07/2015,1.0932
29/07/2015,1.0984
28/07/2015,1.106
27/07/2015,1.1088
24/07/2015,1.0984
23/07/2015,1.0984
22/07/2015,1.0929
21/07/2015,1.0935
20/07/2015,1.0825
17/07/2015,1.083
16/07/2015,1.0875
15/07/2015,1.095
14/07/2015,1.1009
13/07/2015,1.1002
10/07/2015,1.1162
09/07/2015,1.1036
08/07/2015,1.1077
07/07/2015,1.1011
06/07/2015,1.1056
03/07/2015,1.1114
02/07/2015,1.1084
01/07/2015,1.1053
30/06/2015,1.1147
29/06/2015,1.1236
26/06/2015,1.1167
25/06/2015,1.1205
24/06/2015,1.1205
23/06/2015,1.1167
22/06/2015,1.1341
19/06/2015,1.1352
18/06/2015,1.1359
17/06/2015,1.1337
16/06/2015,1.1248
15/06/2015,1.1283
12/06/2015,1.1266
11/06/2015,1.1258
10/06/2015,1.1324
09/06/2015,1.1283
08/06/2015,1.1291
05/06/2015,1.1114
04/06/2015,1.1238
03/06/2015,1.1275
02/06/2015,1.1151
01/06/2015,1.0927
29/05/2015,1.0986
28/05/2015,1.0949
27/05/2015,1.0904
26/05/2015,1.0873
25/05/2015,1.0978
22/05/2015,1.1013
21/05/2015,1.1112
20/05/2015,1.1094
19/05/2015,1.115
18/05/2015,1.1315
15/05/2015,1.1451
14/05/2015,1.141
13/05/2015,1.1354
12/05/2015,1.1213
11/05/2015,1.1155
08/05/2015,1.1199
07/05/2015,1.1267
06/05/2015,1.1347
05/05/2015,1.1185
04/05/2015,1.1146
01/05/2015,1.1199
30/04/2015,1.1224
29/04/2015,1.1128
28/04/2015,1.0981
27/04/2015,1.0891
24/04/2015,1.0873
23/04/2015,1.0824
22/04/2015,1.0725
21/04/2015,1.0736
20/04/2015,1.0738
17/04/2015,1.0806
16/04/2015,1.0761
15/04/2015,1.0684
14/04/2015,1.0655
13/04/2015,1.0567
10/04/2015,1.0604
09/04/2015,1.0659
08/04/2015,1.0781
07/04/2015,1.0814
06/04/2015,1.0922
03/04/2015,1.0969
02/04/2015,1.088
01/04/2015,1.0763
31/03/2015,1.0731
30/03/2015,1.0833
27/03/2015,1.0889
26/03/2015,1.0884
25/03/2015,1.097
24/03/2015,1.0924
23/03/2015,1.0946
20/03/2015,1.0821
19/03/2015,1.066
18/03/2015,1.0864
17/03/2015,1.0597
16/03/2015,1.0568
13/03/2015,1.0496
12/03/2015,1.0635
11/03/2015,1.0547
10/03/2015,1.0698
09/03/2015,1.0852
06/03/2015,1.0844
05/03/2015,1.103
04/03/2015,1.1078
03/03/2015,1.1176
02/03/2015,1.1184
27/02/2015,1.1196
26/02/2015,1.1198
25/02/2015,1.1361
24/02/2015,1.134
23/02/2015,1.1335
20/02/2015,1.1381
19/02/2015,1.1368
18/02/2015,1.1397
17/02/2015,1.1411
16/02/2015,1.1355
13/02/2015,1.1394
12/02/2015,1.1403
11/02/2015,1.1336
10/02/2015,1.1321
09/02/2015,1.1325
06/02/2015,1.1316
05/02/2015,1.1477
04/02/2015,1.1345
03/02/2015,1.1481
02/02/2015,1.1341
30/01/2015,1.1291
29/01/2015,1.132
28/01/2015,1.1287
27/01/2015,1.1381
26/01/2015,1.1238
23/01/2015,1.1204
22/01/2015,1.1366
21/01/2015,1.161
20/01/2015,1.155
19/01/2015,1.1606
16/01/2015,1.1567
15/01/2015,1.1633
14/01/2015,1.1789
13/01/2015,1.1773
12/01/2015,1.1834
09/01/2015,1.1842
08/01/2015,1.1793
07/01/2015,1.1839
06/01/2015,1.189
05/01/2015,1.1933
02/01/2015,1.2002
01/01/2015,1.2104
31/12/2014,1.2098
30/12/2014,1.2156
29/12/2014,1.2152
26/12/2014,1.2183
25/12/2014,1.2225
24/12/2014,1.2196
23/12/2014,1.2172
22/12/2014,1.223
19/12/2014,1.2229
18/12/2014,1.2286
17/12/2014,1.2342
16/12/2014,1.2511
15/12/2014,1.2437
12/12/2014,1.2462
11/12/2014,1.2411
10/12/2014,1.2448
09/12/2014,1.2374
08/12/2014,1.2317
05/12/2014,1.2283
04/12/2014,1.2379
03/12/2014,1.2311
02/12/2014,1.2383
01/12/2014,1.247
28/11/2014,1.2452
27/11/2014,1.2467
26/11/2014,1.2506
25/11/2014,1.2474
24/11/2014,1.2442
21/11/2014,1.2391
20/11/2014,1.2539
19/11/2014,1.2554
18/11/2014,1.2536
17/11/2014,1.245
14/11/2014,1.2525
13/11/2014,1.2477
12/11/2014,1.2438
11/11/2014,1.2475
10/11/2014,1.2421
07/11/2014,1.2455
06/11/2014,1.2375
05/11/2014,1.2486
04/11/2014,1.2546
03/11/2014,1.2482
31/10/2014,1.2525
30/10/2014,1.2613
29/10/2014,1.2632
28/10/2014,1.2734
27/10/2014,1.2698
24/10/2014,1.2671
23/10/2014,1.2646
22/10/2014,1.2649
21/10/2014,1.2716
20/10/2014,1.28
17/10/2014,1.2761
16/10/2014,1.2809
15/10/2014,1.2838
14/10/2014,1.2658
13/10/2014,1.2752
10/10/2014,1.2628
09/10/2014,1.2691
08/10/2014,1.2734
07/10/2014,1.2669
06/10/2014,1.2655
03/10/2014,1.2516
02/10/2014,1.2669
01/10/2014,1.2623
30/09/2014,1.2631
29/09/2014,1.2685
26/09/2014,1.2684
25/09/2014,1.2751
24/09/2014,1.278
23/09/2014,1.2847
22/09/2014,1.2849
19/09/2014,1.2829
18/09/2014,1.2923
17/09/2014,1.2865
16/09/2014,1.296
15/09/2014,1.294
12/09/2014,1.2963
11/09/2014,1.2925
10/09/2014,1.2917
09/09/2014,1.2937
08/09/2014,1.2895
05/09/2014,1.2951
04/09/2014,1.2944
03/09/2014,1.315
02/09/2014,1.3133
01/09/2014,1.3128
29/08/2014,1.3132
28/08/2014,1.3182
27/08/2014,1.3193
26/08/2014,1.3167
25/08/2014,1.3192
22/08/2014,1.3242
21/08/2014,1.3281
20/08/2014,1.3259
19/08/2014,1.332
18/08/2014,1.3364
15/08/2014,1.3401
14/08/2014,1.3365
13/08/2014,1.3364
12/08/2014,1.3369
11/08/2014,1.3385
08/08/2014,1.341
07/08/2014,1.3364
06/08/2014,1.3383
05/08/2014,1.3376
04/08/2014,1.3422
01/08/2014,1.3427
31/07/2014,1.339
30/07/2014,1.3397
29/07/2014,1.3409
28/07/2014,1.344
25/07/2014,1.343
24/07/2014,1.3464
23/07/2014,1.3464
22/07/2014,1.3466
21/07/2014,1.3524
18/07/2014,1.3524
17/07/2014,1.3526
16/07/2014,1.3525
15/07/2014,1.3568
14/07/2014,1.3619
11/07/2014,1.3608
10/07/2014,1.3609
09/07/2014,1.3642
08/07/2014,1.3612
07/07/2014,1.3605
04/07/2014,1.3595
03/07/2014,1.361
02/07/2014,1.366
01/07/2014,1.3679
30/06/2014,1.3692
27/06/2014,1.3649
26/06/2014,1.3612
25/06/2014,1.3629
24/06/2014,1.3606
23/06/2014,1.3605
20/06/2014,1.36
19/06/2014,1.3608
18/06/2014,1.3595
17/06/2014,1.3547
16/06/2014,1.3574
13/06/2014,1.354
12/06/2014,1.3552
11/06/2014,1.3532
10/06/2014,1.3547
09/06/2014,1.3594
06/06/2014,1.3643
05/06/2014,1.366
04/06/2014,1.3599
03/06/2014,1.3628
02/06/2014,1.3597
